"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.050078875E0,-4.424971077E0,1.730784750E0,-5.655593625E-1,4.784960008E0
2.060131875E0,-3.875838590E0,1.409584038E0,-2.505432504E-1,4.131806367E0
2.070184875E0,-3.322702514E0,1.013327589E0,1.334001321E-1,3.476345839E0
2.080237875E0,-2.936686878E0,5.032030468E-1,2.551932487E-1,2.990395747E0
2.090290875E0,-2.755486928E0,-9.929134972E-2,2.607788014E-1,2.769579853E0
2.100343875E0,-2.749166672E0,-8.240717100E-1,2.964228433E-1,2.885286481E0
2.110397875E0,-2.855129914E0,-1.613885461E0,3.589865890E-1,3.299282419E0
2.120450875E0,-2.962877142E0,-2.388587302E0,3.066616103E-1,3.818118856E0
2.130503875E0,-3.089741841E0,-3.084395147E0,2.127597123E-1,4.370956962E0
2.140556875E0,-3.247827163E0,-3.688809550E0,8.009311348E-2,4.915497135E0
2.150609875E0,-3.446472867E0,-4.259413013E0,-1.551052889E-1,5.481316638E0
2.160662875E0,-3.589051373E0,-4.832368518E0,-3.751670042E-1,6.031071674E0
2.170715875E0,-3.627692698E0,-5.373097095E0,-5.697839758E-1,6.508070411E0
2.180768875E0,-3.676397080E0,-5.900153419E0,-7.118362328E-1,6.988162612E0
2.190821875E0,-3.646847591E0,-6.250106937E0,-7.631502280E-1,7.276381817E0
2.200875875E0,-3.252281572E0,-6.413724310E0,-7.422935021E-1,7.229397942E0
2.210928875E0,-2.789977899E0,-6.393376000E0,-6.852542058E-1,7.009194439E0
2.220981875E0,-2.381456915E0,-6.206691361E0,-5.807343489E-1,6.673200662E0
2.231034875E0,-1.989765971E0,-5.963707391E0,-4.818427294E-1,6.305326866E0
2.241087875E0,-1.635389035E0,-5.738056322E0,-3.266196191E-1,5.975488936E0
2.251140875E0,-1.361482065E0,-5.607314919E0,-1.669219270E-1,5.772649041E0
2.261193875E0,-1.044112156E0,-5.477927731E0,-5.278603166E-2,5.576795566E0
2.271246875E0,-7.380361444E-1,-5.376447549E0,-4.274168462E-2,5.427035328E0
2.281299875E0,-4.406432480E-1,-5.248519242E0,-1.297008911E-1,5.268580741E0
2.291352875E0,-2.020423508E-1,-5.183945516E0,-2.086005878E-1,5.192073423E0
2.301406875E0,-6.518943787E-2,-5.227421318E0,-3.720057070E-1,5.241046799E0
2.311459875E0,7.887893915E-2,-5.269071035E0,-5.989665520E-1,5.303592405E0
2.321512875E0,3.713835633E-1,-5.295824386E0,-7.192382231E-1,5.357330053E0
2.331565875E0,5.147245467E-1,-5.400094274E0,-7.795616081E-1,5.480298882E0
2.341618875E0,5.565917802E-1,-5.563056759E0,-8.028895135E-1,5.648187894E0
2.351671875E0,6.228413182E-1,-5.730936753E0,-7.230646411E-1,5.809852825E0
2.361724875E0,7.004017103E-1,-5.866223781E0,-6.173192078E-1,5.940052778E0
2.371777875E0,7.278052711E-1,-6.025700156E0,-5.833499546E-1,6.097463411E0
2.381830875E0,7.716243052E-1,-6.174127048E0,-6.276554771E-1,6.253734905E0
2.391884875E0,8.729694164E-1,-6.284495582E0,-6.988975140E-1,6.383213772E0
2.401937875E0,9.526184338E-1,-6.388856102E0,-7.738784069E-1,6.505678440E0
2.411990875E0,1.070641558E0,-6.489601289E0,-8.722924550E-1,6.634914646E0
2.422043875E0,1.173492327E0,-6.594733642E0,-9.689806974E-1,6.768051392E0
2.432096875E0,1.156319640E0,-6.742753567E0,-1.065572899E0,6.923672897E0
2.442149875E0,1.041478570E0,-7.004184918E0,-1.136815375E0,7.171863996E0
2.452202875E0,8.727361125E-1,-7.285165265E0,-1.222333243E0,7.438373465E0
2.462255875E0,7.030510837E-1,-7.607208853E0,-1.245996632E0,7.740569421E0
2.472308875E0,5.103847432E-1,-7.946933836E0,-1.238788769E0,8.059084787E0
2.482362875E0,3.352167803E-1,-8.253085862E0,-1.200052427E0,8.346611430E0
2.492415875E0,2.553017145E-1,-8.471184667E0,-1.171870602E0,8.555666504E0
2.502468875E0,2.327185982E-1,-8.586098827E0,-1.081169762E0,8.657030614E0
2.512521875E0,2.335576737E-1,-8.616745838E0,-9.104755041E-1,8.667861539E0
2.522574875E0,1.589822853E-1,-8.635719468E0,-6.955722025E-1,8.665145514E0
2.532627875E0,8.360933661E-3,-8.598196131E0,-4.748912671E-1,8.611304682E0
2.542680875E0,-1.678589433E-1,-8.443236730E0,-2.895079261E-1,8.449866150E0
2.552733333E0,-4.311742669E-1,-8.233587736E0,-1.703706148E-1,8.246629882E0
2.562786333E0,-9.109324640E-1,-8.131076691E0,-6.077186644E-2,8.182169597E0
2.572840333E0,-1.714455670E0,-8.237792469E0,8.512727380E-2,8.414738835E0
2.582893333E0,-2.696572137E0,-8.408265118E0,2.962383637E-1,8.835054089E0
2.592946333E0,-3.532310577E0,-8.410009342E0,5.848908421E-1,9.140436119E0
2.602999333E0,-4.153297743E0,-8.125171587E0,8.556464553E-1,9.165174648E0
2.613052333E0,-4.577679884E0,-7.655722032E0,1.127168931E0,8.990869966E0
2.623105333E0,-4.770240975E0,-6.997239595E0,1.405523293E0,8.584407763E0
2.633158333E0,-4.769544572E0,-6.174537522E0,1.732857442E0,7.992262755E0
2.643211333E0,-4.558119194E0,-5.213985586E0,2.061987855E0,7.225917948E0
2.653264333E0,-4.236986017E0,-4.154991682E0,2.371472648E0,6.390609431E0
2.663318333E0,-3.899078348E0,-3.121041986E0,2.584240108E0,5.623345266E0
2.673371333E0,-3.512577394E0,-2.132180171E0,2.694173024E0,4.913548668E0
2.683424333E0,-3.147517594E0,-1.155680685E0,2.639833095E0,4.267456341E0
2.693477333E0,-2.811075237E0,-2.525248718E-1,2.462876469E0,3.745887519E0
2.703530333E0,-2.519969852E0,5.239085856E-1,2.177158123E0,3.371163858E0
2.713583333E0,-2.303679006E0,1.210377002E0,1.872979241E0,3.206244015E0
2.723636333E0,-2.072307022E0,1.856554266E0,1.678102214E0,3.249196389E0
2.733689333E0,-1.868451449E0,2.407545437E0,1.563567100E0,3.425219398E0
2.743742333E0,-1.736136560E0,2.785663823E0,1.530789510E0,3.621796462E0
2.753796333E0,-1.679671168E0,2.989773749E0,1.592902581E0,3.781187768E0
2.763849333E0,-1.741308423E0,3.028789880E0,1.750983664E0,3.907898022E0
2.773902333E0,-1.947468383E0,2.869928925E0,1.998857076E0,4.003068166E0
2.783955333E0,-2.339078634E0,2.549664937E0,2.364712097E0,4.190935868E0
2.794008333E0,-2.848635997E0,2.212620901E0,2.854579691E0,4.599896032E0
2.804061333E0,-3.340485066E0,1.846878878E0,3.369128821E0,5.091250444E0
2.814114333E0,-3.738804413E0,1.518037463E0,3.833369678E0,5.565772118E0
2.824167333E0,-4.015568917E0,1.353345079E0,4.182748999E0,5.954135187E0
2.834220333E0,-3.942405047E0,1.287812702E0,4.460932038E0,6.091053583E0
2.844274333E0,-3.484673311E0,1.451271031E0,4.574834045E0,5.931124870E0
2.854327333E0,-3.387778516E0,1.588865956E0,4.922829330E0,6.183509271E0
2.864380333E0,-3.377982091E0,1.846848034E0,5.567404749E0,6.768870386E0
2.874433333E0,-3.250717442E0,2.244751644E0,6.048261638E0,7.224094592E0
2.884486333E0,-2.914486170E0,2.675495263E0,6.392784262E0,7.517991431E0
2.894539333E0,-2.352069978E0,3.097384737E0,6.537101730E0,7.606557988E0
2.904592333E0,-1.828120864E0,3.457344302E0,6.531338714E0,7.612728875E0
2.914645333E0,-1.453271656E0,3.787826884E0,6.457102464E0,7.625864098E0
2.924698333E0,-1.115211375E0,4.090943620E0,6.229791956E0,7.535902330E0
2.934752333E0,-7.509584910E-1,4.338328497E0,5.803477310E0,7.284598938E0
2.944805333E0,-4.476973289E-1,4.438204788E0,5.246500783E0,6.886498755E0
2.954858333E0,-2.217550689E-1,4.472373285E0,4.687908086E0,6.482883643E0
2.964911333E0,-2.757780790E-2,4.488676784E0,4.113599242E0,6.088569498E0
2.974964333E0,1.953888041E-1,4.482067384E0,3.563083888E0,5.729107401E0
2.985017333E0,4.065820473E-1,4.399233095E0,3.113734721E0,5.404988871E0
2.995070333E0,5.670343226E-1,4.392609077E0,2.725492465E0,5.200466480E0
3.005123333E0,7.087784314E-1,4.472340248E0,2.414840423E0,5.131827007E0
3.015176333E0,7.559379798E-1,4.504201434E0,2.181285088E0,5.061351343E0
3.025230333E0,7.197635955E-1,4.717486518E0,1.928419908E0,5.146993494E0
3.035283333E0,6.791108286E-1,4.901208958E0,1.753151958E0,5.249436403E0
3.045336333E0,5.354166734E-1,5.097386259E0,1.700346923E0,5.400110864E0
3.055389333E0,3.244555646E-1,5.333910810E0,1.744218582E0,5.621225347E0
3.065442333E0,1.398542887E-1,5.594376785E0,1.880905434E0,5.903762875E0
3.075495333E0,-3.320867658E-2,5.869283044E0,2.044917494E0,6.215406168E0
3.085548333E0,-2.068160176E-1,6.113098488E0,2.121027777E0,6.473909547E0
3.095601333E0,-2.708003443E-1,6.298899613E0,2.129067698E0,6.654502117E0
3.105654333E0,-2.817773223E-1,6.425864300E0,1.968910123E0,6.726643853E0
3.115708333E0,-2.959995049E-1,6.497591509E0,1.639256383E0,6.707717392E0
3.125761333E0,-2.760581607E-1,6.533149012E0,1.227268000E0,6.653151950E0
3.135814333E0,-3.461949277E-1,6.502660460E0,7.945161545E-1,6.560160052E0
3.145867333E0,-5.864628661E-1,6.362882770E0,4.281242862E-1,6.404178811E0
3.155920333E0,-9.469682693E-1,6.063119413E0,1.381510679E-1,6.138179831E0
3.165973333E0,-1.347739354E0,5.764748862E0,-3.646901093E-2,5.920309181E0
3.176026333E0,-1.958507926E0,5.538439397E0,3.901912786E-2,5.874656308E0
3.186079333E0,-2.604908845E0,5.347965177E0,3.018853122E-1,5.956292166E0
3.196132333E0,-3.120616894E0,5.258866475E0,5.192607435E-1,6.137064291E0
