"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.506961833E0,1.933458600E-1,8.188265383E-2,3.154270251E-1,3.789216261E-1
1.517016833E0,4.079528540E-1,-9.581598401E-2,-4.137124345E-2,4.210912177E-1
1.527070833E0,5.440071103E-1,-1.364938939E-1,-2.663538292E-1,6.209015070E-1
1.537124833E0,6.898189078E-1,3.695264876E-2,-3.651431224E-1,7.813738693E-1
1.547179833E0,7.327832251E-1,2.849424201E-1,-3.528986143E-1,8.618009455E-1
1.557233833E0,6.943498421E-1,4.847903109E-1,-2.892351535E-1,8.948744732E-1
1.567287833E0,6.362032293E-1,6.754417008E-1,-1.495083341E-1,9.398557241E-1
1.577342833E0,5.421468186E-1,7.620231771E-1,-5.661858916E-2,9.369141690E-1
1.587396833E0,4.557948455E-1,7.700923347E-1,-1.865963459E-2,8.950638677E-1
1.597450833E0,3.850616625E-1,6.625667167E-1,-5.008242533E-2,7.679683504E-1
1.607505833E0,2.248415217E-1,3.685815775E-1,-4.883974582E-2,4.345013348E-1
1.617559833E0,4.345255986E-2,4.452362359E-2,4.228370145E-2,7.522226681E-2
1.627614833E0,-1.777325517E-1,-1.466469991E-1,2.534040007E-1,3.425022480E-1
1.637668833E0,-4.148108339E-1,-1.953543055E-1,4.491114780E-1,6.418196416E-1
1.647722833E0,-6.465311663E-1,-1.308367127E-1,6.458729160E-1,9.231861231E-1
1.657777833E0,-8.157128960E-1,-3.181119204E-2,7.221055515E-1,1.089878850E0
1.667831833E0,-1.061076975E0,-1.994953036E-2,6.599515495E-1,1.249727322E0
1.677885833E0,-1.206114236E0,7.717213690E-2,5.029671116E-1,1.309061879E0
1.687940833E0,-1.315511401E0,2.334284502E-1,2.468024942E-1,1.358664992E0
1.697994833E0,-1.306875502E0,4.747898179E-1,-7.004365012E-2,1.392212291E0
1.708048833E0,-1.375874548E0,6.467470747E-1,-2.781026396E-1,1.545526974E0
1.718103833E0,-1.503862351E0,5.783410835E-1,-4.060655920E-1,1.661616575E0
1.728157833E0,-1.424949205E0,5.880819601E-1,-3.065869121E-1,1.571723946E0
1.738211833E0,-1.373168310E0,6.972184861E-1,-1.740811117E-1,1.549841624E0
1.748266833E0,-1.338606880E0,5.539576095E-1,-7.735413149E-2,1.450765685E0
1.758320833E0,-1.296128028E0,2.281501687E-1,-8.918407202E-2,1.319073221E0
1.768374833E0,-1.125431723E0,-2.358825266E-2,-5.082516789E-2,1.126825704E0
1.778429833E0,-8.657505901E-1,-1.745616066E-1,1.434453562E-2,8.832902153E-1
1.788483833E0,-5.525887764E-1,-3.932427943E-1,6.283651829E-2,6.811333783E-1
1.798537833E0,-2.079908694E-1,-4.362046266E-1,2.027698906E-1,5.240708984E-1
1.808592833E0,9.889951319E-2,-3.205899704E-1,4.559648533E-1,5.660945065E-1
1.818646833E0,3.742814434E-1,-5.299097657E-2,7.239471321E-1,8.166970629E-1
1.828700833E0,6.210272196E-1,1.822787619E-1,8.404824324E-1,1.060806803E0
1.838755833E0,8.789593041E-1,2.888892907E-1,7.630193965E-1,1.199260222E0
1.848809833E0,1.084180055E0,3.638640440E-1,6.754070561E-1,1.328163441E0
1.858863833E0,1.243521798E0,4.375477320E-1,6.037201922E-1,1.449921567E0
1.868918833E0,1.392217369E0,4.927559727E-1,5.756829393E-1,1.585083120E0
1.878972833E0,1.424478943E0,5.585967904E-1,5.293439014E-1,1.619066274E0
1.889026833E0,1.381203992E0,5.302500737E-1,4.678592594E-1,1.551702902E0
1.899081833E0,1.349793334E0,3.014011627E-1,3.577211054E-1,1.428547898E0
1.909135833E0,1.398505465E0,-4.557729185E-1,2.185056250E-1,1.487041088E0
1.919189833E0,1.219951379E0,-1.292925215E0,2.699158068E-1,1.797996530E0
1.929244833E0,1.046306762E0,-1.552218824E0,6.488655210E-1,1.981203569E0
1.939298833E0,8.874177401E-1,-1.433128583E0,1.065856051E0,1.994346234E0
1.949352833E0,7.529181853E-1,-1.098684220E0,1.396397982E0,1.929746132E0
1.959407833E0,7.973207715E-1,-6.025397855E-1,1.497754934E0,1.800567813E0
1.969461833E0,8.257848711E-1,3.423264098E-1,1.482488000E0,1.731149530E0
1.979515833E0,6.663517655E-1,6.617633092E-1,1.375139991E0,1.665222312E0
1.989570833E0,5.292775355E-1,3.138434529E-1,1.116999599E0,1.275272727E0
1.999624833E0,3.041208489E-1,8.880575716E-2,8.895509505E-1,9.442864220E-1
2.009678833E0,-1.544220418E-2,-4.621639252E-2,7.011628716E-1,7.028540311E-1
2.019733833E0,-2.738137069E-1,-4.297832143E-1,4.928713091E-1,7.089497054E-1
2.029787833E0,-4.713107246E-1,-6.474727142E-1,2.909397630E-1,8.520567237E-1
2.039841833E0,-8.370713130E-1,-5.028739947E-1,1.289739360E-1,9.849898039E-1
2.049896833E0,-8.723798709E-1,2.022241992E-1,1.324429429E-1,9.052526713E-1
2.059950833E0,-6.884571643E-1,9.875877070E-1,-2.200881739E-1,1.223822516E0
2.070004833E0,-6.400189760E-1,1.025701028E0,-3.139044102E-1,1.249088815E0
2.080059833E0,-5.222105907E-1,7.511648977E-1,-3.579618645E-1,9.823895872E-1
