"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.275282083E0,1.126203906E1,4.687906624E0,-7.065287737E0,1.409710194E1
1.285336083E0,1.127070814E1,4.545982421E0,-6.221014701E0,1.365268626E1
1.295391083E0,1.083652782E1,4.470545737E0,-4.961857156E0,1.272934173E1
1.305445083E0,1.026017479E1,4.664907770E0,-3.884692444E0,1.192155135E1
1.315499083E0,9.895107393E0,4.856696444E0,-2.995527409E0,1.142251440E1
1.325553083E0,9.521314192E0,5.070132387E0,-2.341179100E0,1.103824198E1
1.335608083E0,9.012194787E0,5.251808301E0,-1.918697889E0,1.060577894E1
1.345662083E0,8.348944530E0,5.371263993E0,-1.644783171E0,1.006283575E1
1.355716083E0,7.809294473E0,5.548770842E0,-1.533285101E0,9.701798865E0
1.365771083E0,7.646968750E0,5.820062937E0,-1.500983766E0,9.726367046E0
1.375825083E0,7.389522861E0,6.086283742E0,-1.865547137E0,9.753366805E0
1.385879083E0,6.820363076E0,6.001282768E0,-2.497632319E0,9.421831804E0
1.395933083E0,5.954071180E0,5.951158097E0,-2.447642133E0,8.766880763E0
1.405988083E0,5.492353397E0,5.594241714E0,-1.875578620E0,8.060972730E0
1.416042083E0,5.628043299E0,5.225646104E0,-2.249136763E0,8.002553639E0
1.426096083E0,5.419643270E0,4.817983491E0,-2.473849354E0,7.661946797E0
1.436151083E0,5.592974038E0,4.584758231E0,-2.541233252E0,7.665457134E0
1.446205083E0,6.007073851E0,4.550326317E0,-2.308267901E0,7.881529455E0
1.456259083E0,6.011296125E0,4.688321776E0,-1.855906833E0,7.846045651E0
1.466313083E0,4.274516956E0,3.785181019E0,-1.763717438E0,5.975766876E0
1.476368083E0,1.232104817E0,2.117095524E0,-1.620825375E0,2.937218179E0
1.486422083E0,-1.274938595E0,7.078940400E-1,-1.334328765E0,1.976617223E0
1.496476083E0,-4.081135501E0,-1.288728669E0,-7.177259870E-1,4.339541352E0
1.506531083E0,-8.295217974E0,-4.585492349E0,6.220406882E-1,9.498648111E0
1.516585083E0,-1.396006365E1,-9.901579092E0,3.147569634E0,1.740206425E1
1.526639083E0,-1.980259685E1,-1.501845412E1,7.138144628E0,2.585826589E1
1.536693083E0,-2.408694765E1,-1.775630292E1,1.095667407E1,3.186716253E1
1.546748083E0,-2.390481624E1,-1.790443044E1,1.322740870E1,3.266455586E1
1.556802083E0,-2.151446747E1,-1.788358979E1,1.397701823E1,3.127382504E1
1.566856083E0,-2.191261140E1,-1.895393665E1,1.435102252E1,3.233212180E1
1.576911083E0,-2.174787428E1,-1.918161319E1,1.356198053E1,3.201299168E1
1.586965083E0,-1.970430282E1,-1.735758830E1,1.052020398E1,2.828816206E1
1.597019083E0,-1.744978369E1,-1.474196970E1,6.908829694E0,2.386530011E1
1.607073083E0,-1.531694512E1,-1.180505361E1,3.777330548E0,1.970371347E1
1.617128083E0,-1.285200108E1,-8.043252096E0,9.788626380E-1,1.519295916E1
1.627182083E0,-8.827595850E0,-3.770181449E0,-1.015904603E0,9.652604768E0
1.637236083E0,-4.261544908E0,5.074202049E-1,-1.819284406E0,4.661334145E0
1.647290083E0,-6.181606221E-1,3.578786878E0,-1.861503788E0,4.081058003E0
1.657345083E0,1.718686715E0,5.345343286E0,-2.228791376E0,6.041033841E0
1.667399083E0,3.750545037E0,6.180199966E0,-2.770632386E0,7.741954760E0
1.677453083E0,5.986436688E0,7.206831286E0,-3.807787524E0,1.011311462E1
1.687508083E0,7.782110183E0,7.757489312E0,-5.149518864E0,1.213496699E1
1.697562083E0,8.859387746E0,7.887700372E0,-5.768377059E0,1.319010016E1
1.707616083E0,9.006929369E0,8.346458294E0,-6.092777075E0,1.370802959E1
1.717670083E0,9.160000704E0,8.514557558E0,-6.279441833E0,1.399409494E1
1.727725083E0,9.710651713E0,8.591195260E0,-6.346973666E0,1.443570114E1
1.737779083E0,1.012129056E1,8.658839943E0,-5.944657162E0,1.458612287E1
1.747833083E0,9.820452483E0,8.228249229E0,-5.128132673E0,1.380011294E1
1.757888083E0,9.170976512E0,7.581869944E0,-4.242552567E0,1.263292580E1
1.767942083E0,8.572719228E0,7.264620488E0,-3.456741747E0,1.175649987E1
1.777996083E0,8.069289747E0,7.187927238E0,-2.824096402E0,1.116938922E1
1.788050083E0,7.214316307E0,7.443192115E0,-2.403574592E0,1.064070672E1
1.798105083E0,6.348112119E0,7.771464157E0,-2.219219484E0,1.027711622E1
1.808159083E0,7.585716827E0,7.143728719E0,-1.287595478E0,1.049923149E1
1.818213083E0,8.002326849E0,6.996886423E0,-6.074216624E-1,1.064718816E1
1.828268083E0,7.598286002E0,7.834452118E0,-5.226779659E-1,1.092638011E1
1.838318083E0,6.823220610E0,7.615797243E0,-6.479983789E-1,1.024580934E1
1.848372083E0,5.803138756E0,6.400042995E0,-8.882867825E-1,8.684815667E0
1.858426083E0,5.862527171E0,5.777788153E0,-5.933912319E-1,8.252525306E0
1.868481083E0,5.900108981E0,6.309477226E0,-6.262829894E-1,8.661005671E0
1.878535083E0,5.498007655E0,6.786562076E0,-5.953249061E-1,8.754423152E0
1.888589083E0,5.741866953E0,7.008344042E0,-6.548817211E-1,9.083765320E0
1.898644083E0,6.748238840E0,7.441592317E0,-1.137968153E0,1.010994536E1
1.908698083E0,7.472765577E0,7.783109472E0,-1.403530562E0,1.088066710E1
1.918752083E0,7.749953420E0,7.666188548E0,-1.470816811E0,1.099979668E1
1.928806083E0,6.896492069E0,7.354565867E0,-1.240698470E0,1.015827617E1
1.938861083E0,5.621561075E0,6.331669164E0,-9.435230899E-1,8.519519889E0
1.948915083E0,4.736828815E0,4.977442324E0,-8.692950261E-1,6.925904501E0
1.958969083E0,3.242062978E0,3.810558520E0,-7.564893723E-1,5.060000470E0
1.969023083E0,7.489195669E-1,2.385556105E0,-4.849844384E-1,2.546952758E0
1.979078083E0,-3.555720490E0,-7.843104243E-2,-2.727177925E-3,3.556586435E0
1.989132083E0,-9.519900336E0,-3.724853834E0,8.096183431E-1,1.025468285E1
1.999186083E0,-1.623227528E1,-7.382222613E0,2.249664767E0,1.797345162E1
2.009241083E0,-2.176953938E1,-1.010129425E1,4.472998352E0,2.441222450E1
2.019295083E0,-2.474199485E1,-1.144068086E1,7.139929783E0,2.817861042E1
2.029349083E0,-2.463702330E1,-1.205753404E1,9.261591983E0,2.895071899E1
2.039403083E0,-2.475517915E1,-1.390704928E1,1.052062732E1,3.028049725E1
2.049458083E0,-2.692135036E1,-1.676435319E1,1.044809495E1,3.339109658E1
2.059512083E0,-2.742514412E1,-1.795264424E1,8.740161849E0,3.392383225E1
2.069566083E0,-2.521074742E1,-1.645437592E1,6.247574508E0,3.074671461E1
2.079620083E0,-2.239850332E1,-1.362179521E1,4.111322336E0,2.653581028E1
2.089675083E0,-1.968548180E1,-1.085931559E1,2.603132461E0,2.263226077E1
2.099729083E0,-1.633602944E1,-7.582517815E0,1.463418914E0,1.806936715E1
2.109783083E0,-1.261944445E1,-4.085146983E0,-5.005206366E-1,1.327363270E1
2.119838083E0,-7.800281575E0,-9.588331470E-1,-9.957971247E-1,7.921828423E0
2.129892083E0,-2.063049710E0,2.288209612E0,6.871647835E-2,3.081687734E0
2.139946083E0,2.250267615E0,4.338389016E0,3.729798532E-1,4.901472999E0
2.150000083E0,4.532690822E0,5.053795266E0,1.433631297E-1,6.790190400E0
2.160055083E0,5.804404094E0,4.981448836E0,-6.803060726E-1,7.679111651E0
2.170109083E0,7.565863191E0,4.818775496E0,-1.239403896E0,9.055330205E0
2.180163083E0,9.133036854E0,4.847019594E0,-1.795904460E0,1.049434295E1
2.190218083E0,1.015628264E1,4.831980556E0,-2.501133631E0,1.152188277E1
2.200272083E0,1.100680576E1,4.945690774E0,-3.181500442E0,1.247924578E1
2.210326083E0,1.152777981E1,5.040430870E0,-3.804109626E0,1.314408235E1
2.220380083E0,1.151985099E1,5.245680419E0,-4.829261600E0,1.354791118E1
2.230435083E0,1.174379818E1,5.600093608E0,-5.885391539E0,1.427990468E1
2.240489083E0,1.171476792E1,6.030642807E0,-6.199033847E0,1.456133444E1
2.250543083E0,1.119814303E1,6.146476150E0,-6.141248739E0,1.417365558E1
2.260598083E0,1.042812086E1,5.867055255E0,-5.321976643E0,1.309547546E1
2.270652083E0,1.021253636E1,6.034766264E0,-4.146619053E0,1.256617493E1
2.280706083E0,9.683078583E0,6.040017064E0,-3.433602560E0,1.191777846E1
2.290760083E0,9.112141829E0,5.727760545E0,-2.659965059E0,1.108664889E1
2.300815083E0,8.413846870E0,5.787211525E0,-2.043172100E0,1.041437414E1
2.310869083E0,8.160527946E0,5.664631666E0,-1.718152864E0,1.008138470E1
2.320923083E0,8.078297968E0,5.332842523E0,-1.460938525E0,9.789404926E0
2.330978083E0,7.594915667E0,5.124120898E0,-1.456489964E0,9.276891827E0
2.341032083E0,7.240973178E0,5.024007211E0,-1.412272149E0,8.925629034E0
2.351086083E0,7.235013696E0,5.217043680E0,-1.076489943E0,8.984531069E0
2.361140083E0,7.205471224E0,5.560663494E0,-1.044420889E0,9.161365021E0
2.371195083E0,7.107384181E0,5.427461582E0,-1.308292868E0,9.037913440E0
2.381249083E0,7.077223658E0,5.129655288E0,-1.585951996E0,8.883451008E0
2.391303083E0,7.319581976E0,5.067849634E0,-1.731566377E0,9.069603207E0
2.401358083E0,7.673377699E0,5.244996879E0,-1.810342405E0,9.469321898E0
2.411412083E0,7.811864324E0,4.954980830E0,-1.625140620E0,9.392451292E0
2.421466083E0,7.198794873E0,4.453149394E0,-1.281329602E0,8.561249482E0
2.431520083E0,6.068501190E0,3.895586976E0,-9.349820620E-1,7.271622655E0
2.441575083E0,5.031075910E0,3.335916052E0,-4.149628615E-1,6.050806136E0
2.451629083E0,3.519267193E0,2.627853320E0,-9.395890832E-3,4.392145595E0
2.461683083E0,2.454532492E-1,5.815076432E-1,-5.219169874E-2,6.333422535E-1
2.471737083E0,-4.018279687E0,-2.562563602E0,2.526523046E-1,4.772539894E0
2.481792083E0,-9.599346455E0,-7.114004399E0,1.096744114E0,1.199830649E1
2.491846083E0,-1.600491448E1,-1.180570850E1,2.075011944E0,1.999594247E1
2.501900083E0,-2.186710135E1,-1.506441557E1,3.691561249E0,2.680922159E1
2.511955083E0,-2.497879071E1,-1.605077303E1,6.988612028E0,3.050259003E1
2.522009083E0,-2.441209494E1,-1.500210063E1,1.002357189E1,3.035597793E1
2.532063083E0,-2.580727568E1,-1.589424774E1,1.086712981E1,3.219840213E1
2.542117083E0,-2.893916601E1,-1.817316262E1,1.083898365E1,3.585000328E1
2.552172083E0,-2.700280441E1,-1.650313234E1,9.321285038E0,3.299077413E1
2.562226083E0,-2.277942837E1,-1.410086694E1,6.782128133E0,2.763573895E1
2.572280083E0,-1.985350739E1,-1.155591778E1,4.304913121E0,2.337163384E1
2.582334083E0,-1.681394928E1,-9.038273953E0,1.771102910E0,1.917123084E1
2.592389083E0,-1.352284862E1,-6.124197088E0,-1.922798395E-1,1.484621825E1
2.602443083E0,-9.092761817E0,-3.386397988E0,-9.688450420E-1,9.751136832E0
2.612497083E0,-3.929807221E0,-7.616091943E-1,-1.028791866E0,4.133019001E0
2.622552083E0,3.444308227E-1,1.417558617E0,-1.301363332E0,1.954904485E0
2.632606083E0,2.967956033E0,2.807464874E0,-1.810258205E0,4.468518413E0
2.642660083E0,5.299422178E0,3.570044121E0,-2.161220952E0,6.745366295E0
2.652714083E0,7.839725137E0,4.356229163E0,-2.758438017E0,9.383336456E0
2.662769083E0,9.905676820E0,5.509938898E0,-3.489532932E0,1.185996206E1
2.672823083E0,1.155259890E1,6.934755664E0,-4.460348486E0,1.419324086E1
2.682877083E0,1.264210475E1,7.900936714E0,-5.328769938E0,1.583172140E1
2.692931083E0,1.293613900E1,8.070182617E0,-5.493929806E0,1.620662841E1
2.702986083E0,1.249016017E1,7.847093799E0,-5.379247196E0,1.570086885E1
2.713040083E0,1.201293850E1,7.472643955E0,-5.038794234E0,1.501800740E1
2.723094083E0,1.171345698E1,7.188179837E0,-4.285433123E0,1.439583067E1
2.733149083E0,1.108169690E1,6.796143909E0,-3.703177328E0,1.351684506E1
2.743203083E0,1.010277477E1,6.269236103E0,-2.972014001E0,1.225570261E1
2.753257083E0,9.059556064E0,5.792100967E0,-1.866290903E0,1.091361679E1
2.763311083E0,8.561722954E0,5.595038690E0,-8.445466858E-1,1.026259309E1
2.773366083E0,8.106621296E0,5.482705491E0,-3.046469522E-1,9.791331784E0
2.783420083E0,7.346148800E0,5.400622863E0,-4.981736373E-4,9.117709677E0
2.793474083E0,6.663557124E0,5.350284183E0,2.484599240E-1,8.549284574E0
2.803529083E0,6.089804935E0,5.402028533E0,3.494377935E-1,8.147990132E0
2.813583083E0,5.958022728E0,5.785598279E0,3.571806765E-1,8.312566409E0
2.823637083E0,5.773825495E0,6.153110400E0,3.475725682E-1,8.445036124E0
2.833691083E0,5.435350061E0,6.434722831E0,2.839478818E-1,8.427889095E0
2.843749875E0,5.295701594E0,6.816558877E0,4.950837493E-2,8.632055455E0
2.853803875E0,5.334610721E0,7.389658517E0,-4.936292544E-3,9.114008389E0
2.863857875E0,5.419244490E0,7.776974573E0,6.367267013E-2,9.479113807E0
2.873911875E0,5.916501065E0,7.924336102E0,2.512279594E-1,9.892583232E0
2.883966875E0,6.398530321E0,7.803766515E0,3.965371156E-1,1.009936650E1
2.894020875E0,6.376185186E0,7.263062789E0,4.614482260E-1,9.675781781E0
2.904074875E0,6.238461623E0,6.871180642E0,4.516214684E-1,9.291689232E0
2.914129875E0,5.870876995E0,6.618440593E0,2.254827420E-1,8.849960172E0
2.924183875E0,5.126003117E0,5.974115435E0,-1.314734745E-1,7.872944078E0
2.934237875E0,3.919268784E0,5.196262676E0,-5.706951912E-1,6.533567677E0
2.944291875E0,1.995376959E0,4.086797944E0,-1.244564649E0,4.715123308E0
2.954346875E0,-1.292822889E0,1.489045214E0,-1.943023914E0,2.768390977E0
2.964400875E0,-6.402557298E0,-2.498093079E0,-2.129242530E0,7.194920621E0
2.974454875E0,-1.338280781E1,-7.820596556E0,-1.670741301E0,1.559014598E1
2.984509875E0,-2.065326849E1,-1.270294737E1,-7.844617210E-2,2.424723747E1
2.994563875E0,-2.717015406E1,-1.617932640E1,2.806802677E0,3.174690561E1
