"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.779411417E0,4.303189655E-1,-2.368604369E-1,1.560639399E-1,5.153961893E-1
1.789465417E0,1.372976083E0,-5.487462786E-1,1.783966200E0,2.317050108E0
1.799518417E0,1.082155091E0,-7.484852649E-1,9.633270246E-1,1.630732593E0
1.809571417E0,5.969469237E-1,-1.141416695E0,3.408926725E-1,1.332435933E0
1.819624417E0,8.608788362E-1,-1.221954928E0,1.859268397E-1,1.506271890E0
1.829678417E0,1.053098303E0,-9.667271805E-1,-1.506535113E-1,1.437453985E0
1.839731417E0,1.313055279E0,-5.955234922E-1,-4.128204417E-1,1.499727679E0
1.849784417E0,1.485525044E0,-4.844371756E-1,-9.381810737E-1,1.822538823E0
1.859837417E0,1.520306183E0,-5.207882920E-1,-1.418677189E0,2.143640899E0
1.869891417E0,1.556158093E0,-3.902983557E-1,-1.457839501E0,2.167776932E0
1.879944417E0,1.553013168E0,-2.420815254E-1,-1.477443461E0,2.157149171E0
1.889997417E0,1.415610617E0,-2.881447940E-1,-1.503179981E0,2.084833541E0
1.900050417E0,1.247999011E0,-3.056966735E-1,-1.058961745E0,1.665038127E0
1.910104417E0,1.104481588E0,-5.580281487E-1,-6.186628979E-1,1.383480674E0
1.920157417E0,1.037814266E0,-9.415766980E-1,-1.016538441E-2,1.401330962E0
1.930210417E0,1.112601616E0,-1.056245129E0,7.186233884E-1,1.694094361E0
1.940264417E0,1.112742680E0,-1.543811113E0,1.306760897E0,2.308500177E0
1.950317417E0,8.914917145E-1,-1.632769044E0,1.008533603E0,2.116088905E0
1.960370417E0,8.775235203E-1,-7.200698434E-1,1.407037722E0,1.807844921E0
1.970423417E0,7.801564161E-1,-2.514191999E-1,1.597365176E0,1.795391643E0
1.980477417E0,6.827247003E-1,-2.284304330E-1,1.303476516E0,1.489075051E0
1.990530417E0,8.039223511E-1,-5.120421730E-1,1.139144613E0,1.485304273E0
2.000583417E0,1.047278204E0,-8.605715650E-1,9.746659452E-1,1.669535492E0
2.010636417E0,1.155068628E0,-1.082986346E0,7.201553589E-1,1.739444366E0
2.020690417E0,1.243840033E0,-1.104161891E0,4.912450522E-1,1.734252926E0
2.030743417E0,1.364605940E0,-9.916445053E-1,2.289336956E-1,1.702327475E0
2.040796417E0,1.437118723E0,-8.968021557E-1,-7.287969589E-2,1.695545865E0
2.050849417E0,1.687670452E0,-8.588256595E-1,-2.584486860E-1,1.911179947E0
2.060903417E0,2.127183725E0,-1.035930366E0,-3.629869616E-1,2.393704631E0
2.070956417E0,2.609411786E0,-1.481974322E0,-4.603027564E-1,3.035977007E0
2.081009417E0,3.344637174E0,-2.103597081E0,-3.465820134E-2,3.951318728E0
2.091062417E0,3.525832154E0,-2.398200417E0,3.914950615E-1,4.282070294E0
2.101116417E0,3.431576792E0,-2.004279638E0,-2.120709103E-1,3.979677150E0
2.111169417E0,3.223968185E0,-1.275084045E0,-6.036530954E-1,3.519120236E0
2.121222417E0,2.959840098E0,-6.320011277E-1,-9.593684596E-1,3.174975066E0
2.131275417E0,2.666763909E0,-2.883684865E-1,-1.598466792E0,3.122480138E0
2.141329417E0,2.433571978E0,-2.560580884E-1,-2.010651641E0,3.167105672E0
2.151382417E0,2.410570786E0,-4.438520903E-1,-1.966856580E0,3.142670998E0
2.161435417E0,2.167824505E0,-5.394184713E-1,-2.044706410E0,3.028408769E0
2.171488417E0,1.707427316E0,-5.716838092E-1,-2.136320584E0,2.793921269E0
2.181542417E0,1.535202403E0,-6.301675871E-1,-2.055810857E0,2.642028744E0
2.191595833E0,1.648216364E0,-6.406899440E-1,-1.933107036E0,2.619924350E0
2.201648833E0,1.831195038E0,-6.470473292E-1,-1.763716707E0,2.623479014E0
2.211702833E0,1.805944422E0,-7.928985954E-1,-1.403258666E0,2.420590490E0
2.221755833E0,1.440294053E0,-8.826612494E-1,-9.692607790E-1,1.947563683E0
2.231808833E0,1.101176157E0,-1.059198703E0,-7.282595998E-1,1.692587624E0
2.241861833E0,1.172837732E0,-1.449393198E0,-4.154861873E-1,1.910214061E0
2.251915833E0,1.373929617E0,-1.949394309E0,-2.241641217E-1,2.395426960E0
2.261968833E0,1.385172351E0,-2.258056983E0,1.838294435E-1,2.655431612E0
2.272021833E0,1.413167066E0,-2.143171328E0,4.920186388E-1,2.613868176E0
2.282074833E0,1.460197391E0,-1.850414836E0,2.333845961E-1,2.368687369E0
2.292128833E0,1.265833603E0,-1.559690981E0,-1.631536889E-1,2.015338630E0
2.302181833E0,7.440686437E-1,-1.526161292E0,-5.552521831E-1,1.786368222E0
2.312234833E0,-2.556869730E-1,-1.749587349E0,-1.130126452E0,2.098479811E0
2.322287833E0,-1.008740010E0,-1.698043266E0,-9.690268904E-1,2.199981921E0
2.332341833E0,-1.240400262E0,-1.512441385E0,-8.139844590E-1,2.118641653E0
2.342394833E0,-1.329957825E0,-1.391915507E0,-7.914317483E-1,2.081485240E0
2.352447833E0,-1.396666077E0,-1.647211228E0,-3.881241417E-1,2.194224535E0
2.362500833E0,-1.263748048E0,-1.789339499E0,4.544689894E-2,2.191086578E0
2.372554833E0,-9.757836404E-1,-1.668770497E0,4.404789412E-1,1.982667491E0
2.382607833E0,-7.410041910E-1,-1.606679791E0,7.046117055E-1,1.904464443E0
2.392660833E0,-5.677294104E-1,-1.471749588E0,8.038658524E-1,1.770469950E0
2.402713833E0,-5.463977444E-1,-1.171470945E0,7.402154016E-1,1.489568230E0
2.412767833E0,-8.107508026E-1,-8.996695572E-1,7.409895730E-1,1.419784393E0
2.422820833E0,-1.061949672E0,-5.192345041E-1,7.841589814E-1,1.418536882E0
2.432873833E0,-1.174535471E0,-1.555100624E-1,1.011422712E0,1.557784598E0
2.442926833E0,-1.291911454E0,-9.729416013E-2,1.331608055E0,1.857870117E0
2.452980833E0,-1.421247041E0,-1.981358260E-1,1.783828205E0,2.289376339E0
2.463033833E0,-1.492692707E0,-2.878873703E-1,2.281411055E0,2.741504524E0
2.473086833E0,-1.569988805E0,-2.142720947E-1,2.733950463E0,3.159946599E0
2.483139833E0,-1.589907637E0,3.655094504E-3,3.083298794E0,3.469085053E0
2.493193833E0,-1.566236354E0,2.356071228E-1,3.319651437E0,3.678137123E0
2.503246833E0,-1.713808383E0,4.413636249E-1,3.351987709E0,3.790483165E0
2.513299833E0,-1.926343270E0,7.258601949E-1,3.408109869E0,3.981568070E0
2.523352833E0,-2.120306230E0,9.604683208E-1,3.350644603E0,4.079830531E0
2.533406833E0,-2.160305863E0,1.249799369E0,2.977088215E0,3.884839009E0
2.543459833E0,-2.095348560E0,1.846491061E0,2.863872671E0,4.000222682E0
2.553512833E0,-2.205009581E0,2.219780232E0,2.922060068E0,4.281112773E0
2.563565833E0,-2.266035801E0,2.420814231E0,2.815131451E0,4.349738484E0
2.573619833E0,-2.229476962E0,2.555682306E0,2.777248510E0,4.383513301E0
2.583672833E0,-2.171157418E0,2.612227513E0,2.831848056E0,4.422332023E0
2.593725833E0,-2.133622387E0,2.571700461E0,2.791153189E0,4.353909034E0
2.603778833E0,-2.114033630E0,2.603355825E0,2.740816848E0,4.331128806E0
2.613832833E0,-2.033515131E0,2.695487478E0,2.727780481E0,4.340693826E0
2.623885833E0,-1.876031780E0,2.752625885E0,2.782514513E0,4.340372278E0
2.633938833E0,-1.719867560E0,2.865664550E0,2.760454722E0,4.334753512E0
2.643991833E0,-1.619479930E0,3.048684739E0,2.620648381E0,4.334165643E0
2.654045833E0,-1.519157497E0,3.221755598E0,2.343248869E0,4.263609257E0
2.664098833E0,-1.395429829E0,3.356727462E0,2.003761282E0,4.150891824E0
2.674151833E0,-1.273554559E0,3.578117957E0,1.617124087E0,4.127948600E0
2.684204833E0,-1.260653847E0,3.750343601E0,1.268384451E0,4.154891619E0
2.694258833E0,-1.214966628E0,3.778435671E0,1.116359768E0,4.122981829E0
2.704311833E0,-1.085919748E0,3.789493926E0,1.106152868E0,4.094271618E0
2.714364833E0,-1.072906185E0,3.870331390E0,9.724650532E-1,4.132345705E0
2.724417833E0,-1.115489702E0,3.905173486E0,7.777410775E-1,4.135163650E0
2.734471833E0,-1.060562713E0,4.082390606E0,6.759457308E-1,4.271722013E0
2.744524833E0,-9.446314296E-1,4.208598078E0,7.507398051E-1,4.378154471E0
2.754577833E0,-7.404294097E-1,3.908523356E0,8.705773205E-1,4.072185581E0
2.764630833E0,-5.945750007E-1,3.334502780E0,9.336582524E-1,3.513423680E0
2.774684833E0,-5.996383971E-1,2.829293115E0,1.245227138E0,3.148818249E0
2.784737833E0,-6.055247891E-1,2.534061349E0,1.653566274E0,3.085840018E0
2.794790833E0,-5.915230465E-1,2.381584091E0,1.925661192E0,3.119296928E0
2.804843833E0,-6.072503024E-1,2.214066333E0,2.129047233E0,3.131083643E0
2.814897833E0,-6.579053164E-1,2.042467511E0,2.188646733E0,3.065075441E0
2.824950833E0,-6.851489559E-1,1.908017511E0,2.184249626E0,2.980084956E0
2.835003833E0,-7.098423323E-1,1.835723121E0,2.114538537E0,2.888776339E0
2.845056833E0,-7.742128676E-1,1.755301394E0,2.041543066E0,2.801497214E0
2.855110833E0,-8.011840269E-1,1.649762953E0,1.964819995E0,2.687774406E0
2.865163833E0,-7.740202019E-1,1.539516917E0,1.850360164E0,2.528448605E0
2.875216833E0,-6.731703499E-1,1.423041259E0,1.704888455E0,2.320527826E0
2.885269833E0,-5.818052664E-1,1.308651594E0,1.679479380E0,2.207196718E0
2.895323833E0,-5.077602205E-1,1.319624479E0,1.613562548E0,2.145416814E0
2.905376833E0,-4.456578201E-1,1.443437224E0,1.478725170E0,2.113941826E0
2.915429833E0,-4.754578623E-1,1.503919653E0,1.229830835E0,2.000079595E0
2.925482833E0,-5.922612575E-1,1.447643126E0,9.305551350E-1,1.819993648E0
2.935536833E0,-7.448724166E-1,1.329672042E0,7.124136454E-1,1.682378037E0
2.945589833E0,-8.256440994E-1,1.133783009E0,5.850402385E-1,1.519678970E0
2.955642833E0,-8.003525528E-1,1.004213680E0,5.071635121E-1,1.380660766E0
2.965695833E0,-7.285148308E-1,9.806365371E-1,5.144199067E-1,1.325522432E0
2.975749833E0,-6.909096327E-1,8.499752408E-1,5.642709285E-1,1.232158964E0
2.985802833E0,-5.648310918E-1,6.428592610E-1,6.796236295E-1,1.092790222E0
2.995855833E0,-3.771170506E-1,4.489141345E-1,7.296541607E-1,9.360215619E-1
3.005908833E0,-1.674025682E-1,2.901821101E-1,7.445639759E-1,8.164586891E-1
3.015962833E0,-1.068549424E-2,7.701104611E-2,6.529012692E-1,6.575142191E-1
3.026015833E0,6.600541681E-2,-1.652621949E-1,5.609795308E-1,5.885289645E-1
3.036068833E0,5.910073221E-3,-3.798573482E-1,5.318732607E-1,6.536173953E-1
3.046121833E0,-9.744004816E-2,-5.997272748E-1,4.425932944E-1,7.517021959E-1
3.056175833E0,-2.007729203E-2,-7.799159494E-1,2.338628983E-1,8.144715103E-1
3.066228833E0,8.513604462E-2,-9.797389895E-1,-6.571451783E-2,9.856241837E-1
3.076281833E0,1.537358710E-1,-1.298937322E0,-1.272155321E-1,1.314175284E0
3.086334833E0,5.081996387E-1,-1.546464141E0,-1.227973759E-2,1.627872539E0
3.096388833E0,9.911793593E-1,-1.740085331E0,4.330857217E-2,2.003049953E0
3.106441833E0,1.391989620E0,-1.958248017E0,2.091572428E-1,2.411662736E0
3.116494833E0,1.709434958E0,-2.120584850E0,2.737297994E-1,2.737512737E0
3.126547833E0,1.762437921E0,-2.196978430E0,1.040780997E-1,2.818463038E0
