"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.456079750E0,-6.506658787E-1,-2.338509846E0,2.388717695E-1,2.439068287E0
1.466133750E0,-7.747420406E-1,-2.507361501E0,3.598810668E-1,2.648886805E0
1.476187750E0,-9.887735224E-1,-2.787452194E0,5.021752524E-1,2.999957132E0
1.486241750E0,-1.228575438E0,-3.081294953E0,6.496351607E-1,3.380207396E0
1.496295750E0,-1.534067897E0,-3.338557532E0,8.060585582E-1,3.761523774E0
1.506349750E0,-1.790547241E0,-3.565018440E0,9.924822651E-1,4.111014102E0
1.516403750E0,-2.032177581E0,-3.738363533E0,1.155589907E0,4.409137745E0
1.526457750E0,-2.155253284E0,-3.872462407E0,1.337721319E0,4.629317460E0
1.536511750E0,-2.138389914E0,-3.890875582E0,1.532415620E0,4.696799107E0
1.546565750E0,-1.981357090E0,-3.800582293E0,1.687453812E0,4.606267692E0
1.556619750E0,-1.819047155E0,-3.636422298E0,1.805497402E0,4.448856095E0
1.566673750E0,-1.629154149E0,-3.356627767E0,1.878061933E0,4.177105437E0
1.576727750E0,-1.377533256E0,-2.947927566E0,1.935058252E0,3.785805759E0
1.586780625E0,-1.094694080E0,-2.475259702E0,1.991061714E0,3.359998880E0
1.596834625E0,-7.932683587E-1,-1.975233009E0,2.015453959E0,2.931360570E0
1.606888625E0,-4.783595431E-1,-1.445611657E0,2.005514277E0,2.518076336E0
1.616942625E0,-1.142545938E-1,-8.606065021E-1,2.008491095E0,2.188089153E0
1.626996625E0,2.391832799E-1,-2.663204635E-1,2.025456206E0,2.056844203E0
1.637050625E0,5.392173636E-1,2.490323665E-1,2.013652432E0,2.099421016E0
1.647104625E0,8.267992169E-1,6.757874174E-1,1.955254535E0,2.227847812E0
1.657158625E0,1.021895075E0,1.025570050E0,1.886628104E0,2.378114605E0
1.667212625E0,1.155623236E0,1.282425224E0,1.855749543E0,2.534538594E0
